,genres,original_language,vote_average,vote_count,popularity,budget,revenue,runtime,budget_to_rating,budget_to_pop,budget_to_vote_count,vote_count_to_popularity,vote_average_squared,log_budget,release_day_of_week,release_quarter,year,month
731,"['Drama', 'Comedy']",French,8.3,15780.0,60.045,13000000.0,426588510.0,113.0,1397849.4623655912,216504.28845032892,823.7754261453647,258.49782947006304,68.89000000000001,16.380459992348886,2,4,2011,11
732,"['Western', 'Action']",English,7.6,1806.0,59.958,25000000.0,56505065.0,130.0,2906976.7441860465,416958.5376430168,13835.08577753182,29.626956264969323,57.76,17.034386422832473,5,4,1993,12
734,"['Action', 'Fantasy', 'Adventure']",English,6.6,2920.0,59.904,60000000.0,42145959.0,104.0,7894736.842105264,1001602.564102564,20540.910647038687,47.94430579272297,43.559999999999995,17.909855136853043,3,4,2020,12
735,"['Romance', 'Drama', 'Comedy']",cn,4.7,21.0,59.845,0.0,709136.0,97.0,0.0,0.0,0.0,0.3451392883556578,22.090000000000003,0.0,3,1,2015,1
736,"['Animation', 'Family']",English,7.0,9720.0,59.776,200000000.0,743559607.0,104.0,25000000.0,3345824.4111349033,20574.015019030965,159.93155192839276,49.0,19.11382792951231,2,2,2013,6
737,['Comedy'],English,6.5,75.0,59.736,28000000.0,29637811.0,98.0,3733333.3333333335,468729.0745948842,368421.05263157893,1.2348524762908326,42.25,17.147715103853763,4,1,2023,2
738,"['Mystery', 'Thriller', 'Drama']",English,7.9,17019.0,59.681,61000000.0,369330363.0,149.0,6853932.584269662,1022100.8361119955,3584.018801410106,280.46670292183717,62.410000000000004,17.926384438531027,2,4,2014,10
740,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",English,5.8,4216.0,59.616,175000000.0,302469017.0,118.0,25735294.11764706,2935453.5695115407,41498.69575527626,69.55259337468655,33.64,18.980296537602072,0,3,2009,8
741,"['Adventure', 'Fantasy', 'Drama', 'Action']",English,6.9,6166.0,59.587,200000000.0,66800000.0,115.0,25316455.69620253,3356436.806686022,32430.679422733905,101.77100698169573,47.61000000000001,19.11382792951231,4,3,2020,9
742,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",English,7.0,12372.0,59.484,185000000.0,538983207.0,93.0,23125000.0,3110080.0215183916,14951.91142002748,204.54996362674424,49.0,19.035866388448003,3,2,2012,6
743,"['Thriller', 'Crime']",English,8.5,25297.0,59.408,8000000.0,214179088.0,154.0,842105.2631578947,134661.99838405603,316.23053205787016,418.76903721361407,72.25,15.894952224644102,5,3,1994,9
744,"['Drama', 'Romance']",English,7.8,6911.0,59.396,1000000.0,117250402.0,119.0,113636.36363636363,16836.15058253081,144.67592592592592,114.42810782171004,60.839999999999996,13.815511557963774,6,4,1976,11
745,"['Action', 'Science Fiction', 'Thriller']",English,6.1,4330.0,59.386,120000000.0,221600160.0,109.0,16901408.450704224,2020678.2743407537,27707.226968367584,71.70536217003941,37.209999999999994,18.603002309079653,4,4,2017,10
747,"['Action', 'Science Fiction', 'Horror', 'TV Movie']",English,5.6,244.0,59.256,130178.0,5303.0,90.0,19723.939393939396,2196.8745781017956,531.3387755102041,4.049389272437599,31.359999999999996,11.776665705425343,4,3,2018,8
750,"['Romance', 'Comedy']",English,6.3,64.0,59.154,0.0,10898395.0,109.0,0.0,0.0,0.0,1.0639358978621538,39.69,0.0,3,1,2023,1
751,"['Action', 'Adventure', 'Fantasy']",English,6.9,12694.0,59.148,160000000.0,1148528393.0,143.0,20253164.556962024,2705078.785419625,12603.387160299331,211.04608632040964,47.61000000000001,18.8906843794481,4,4,2018,12
753,"['Animation', 'Family', 'Science Fiction']",English,8.1,17081.0,59.011,180000000.0,521311860.0,98.0,19780219.780219782,3050278.7615868226,10537.40779768177,284.63115095565814,65.61,19.00846741441004,6,2,2008,6
755,"['Adventure', 'Action', 'Fantasy']",English,6.6,10958.0,58.852,230000000.0,795922298.0,128.0,30263157.894736845,3908108.475497859,20987.31636098184,183.08494285905235,43.559999999999995,19.253589871235295,1,2,2017,5
757,"['Animation', 'Comedy', 'Adventure', 'Family']",English,6.4,6898.0,58.724,95000000.0,877244782.0,88.0,12837837.837837838,1617737.211361624,13770.111610378315,115.49795727010917,40.96000000000001,18.36938746009113,2,2,2012,6
758,"['Comedy', 'Family', 'Animation']",English,6.9,2230.0,58.583,50000000.0,136536687.0,101.0,6329113.924050633,853489.9202840414,22411.474675033616,37.426782807176544,47.61000000000001,17.72753358339242,2,1,2021,2
759,"['Action', 'Adventure', 'Fantasy']",English,6.5,16071.0,58.581,170000000.0,644783140.0,112.0,22666666.666666668,2901964.800874003,10577.40169238427,269.733639918766,42.25,18.951309000896888,2,4,2013,10
763,"['Thriller', 'Mystery']",English,7.6,450.0,58.353,7000000.0,45100756.0,111.0,813953.4883720931,119959.55649238256,15521.064301552107,7.58175660876451,57.76,15.76142084987672,3,1,2023,1
764,"['Animation', 'Fantasy', 'Family']",Japanese,7.7,3640.0,58.177,41677699.0,202404009.0,100.0,4790540.114942529,716394.7780050535,11446.772589947817,61.51038410193149,59.290000000000006,17.545476771545133,5,3,2008,7
765,['Horror'],English,6.5,4111.0,58.165,17000000.0,97542952.0,91.0,2266666.6666666665,292271.98487062665,4134.241245136187,69.48364742668808,42.25,16.648723960844016,4,2,2013,4
766,"['Horror', 'Thriller']",English,6.7,3750.0,58.079,5000000.0,161000000.0,106.0,649350.6493506493,86089.63652955457,1332.9778725673154,63.474330980551464,44.89,15.424948670398354,3,3,2013,9
768,['Horror'],English,7.4,764.0,58.045,1000000.0,9423445.0,102.0,119047.61904761904,17228.012748729434,1307.18954248366,12.93928359725633,54.760000000000005,13.815511557963774,4,3,2022,9
769,"['Romance', 'Comedy', 'Crime', 'Drama']",English,6.9,7182.0,58.039,50100000.0,153962963.0,105.0,6341772.151898734,863212.6673443719,6974.801614924127,121.64840190382628,47.61000000000001,17.729531586015174,2,1,2015,2
772,"['Action', 'Crime', 'Drama', 'Thriller']",English,7.8,20903.0,58.023,250000000.0,1081041287.0,165.0,28409090.909090906,4308636.230460335,11959.433601224646,354.1500770885926,60.839999999999996,19.33697147982652,0,3,2012,7
774,"['Adventure', 'Action', 'Fantasy']",English,6.9,8134.0,57.955,80000000.0,415885488.0,124.0,10126582.278481012,1380381.3303425072,9834.050399508298,137.96963785938428,47.61000000000001,18.197537205138154,4,2,1999,4
